,true_slide,latitude,longitude,max_elev_change,median_elev,mean_elev,mean_median_diff,total_elev,median_elev_change,mean_elev_change,total_elev_change,Precip_30_min_before,Precip_60_min_before,Precip_90_min_before,Precip_120_min_before,fire_<=1_year_before,fire_<=3_year_before,fire_<=5_year_before
13,1,39.84678322,-121.39415498,1427,1190.0,1139.3769965277777,50.62300347222231,65628115,2.0,2.761436541143654,1340452,0.0,0.0,0.0,0.0,1,1,1
14,1,33.66993932,-116.67436003,2054,1490.0,1531.2030555555555,41.203055555555466,88197296,2.0,1.9907252440725245,1145140,0.0,0.0,0.0,0.0,0,0,0
15,1,47.22412206,-117.06728407,485,797.0,821.2794270833333,24.279427083333303,47305695,1.0,0.694560669456067,354944,0.0,0.0,0.0,0.0,0,0,0
16,1,47.06550348,-91.59904352,294,201.0,252.88930555555555,51.88930555555555,14566424,-1.0,-1.0490934449093445,121008,0.0,0.0,0.0,0.0,0,0,0
17,1,39.73889159,-121.70962339,720,205.0,242.28177083333333,37.281770833333326,13955430,3.0,2.8501743375174335,731414,0.0,2.3999998569488525,2.3999998569488525,1.611588478088379,1,1,1
18,1,46.22264087,-115.95517604,750,838.0,769.8823784722222,68.11762152777783,44345225,1.0,0.9123082287308228,817758,0.0,0.0,0.0,0.0,0,1,1
19,1,40.8826421,-74.26526955,284,76.0,93.00864583333333,17.008645833333333,5357298,0.0,-0.40617154811715483,286410,0.0,0.0,0.0,0.0,0,0,0
20,1,20.84834341,-156.13614164,2552,105.0,416.14715277777776,311.14715277777776,23970076,-5.0,-6.879951185495119,597634,0.0,0.0,0.0,0.0,0,0,0
21,1,34.17051807,-116.84160166,2024,2277.0,2343.7440625,66.74406249999993,134999658,4.0,1.9471408647140864,1166824,0.0,0.0,0.0,0.0,0,0,0
22,1,41.00056405,-74.32438791,352,151.0,167.30788194444443,16.307881944444432,9636934,-1.0,-0.9195955369595536,459512,0.0,0.0,0.0,0.0,0,0,0
23,1,38.18538087,-112.94092074,809,1765.0,1812.9909722222221,47.990972222222126,104428280,2.0,3.134902370990237,501498,0.0,0.0,0.0,0.0,0,0,0
24,1,33.65926635,-117.58621236,1651,391.0,500.02300347222223,109.02300347222223,28801325,5.0,4.432496513249651,1121544,0.0,0.0,0.0,0.0,0,0,0
25,1,33.68609602,-116.66274745,2459,1548.0,1584.8947048611112,36.89470486111122,91289935,1.0,-0.2775801952580195,1244786,0.0,0.0,0.0,0.0,1,1,1
26,1,34.037559030000004,-118.82511314,863,91.0,201.65949652777778,110.65949652777778,11615587,0.0,-0.28134588563458857,845870,0.09099176526069641,0.12449373304843903,0.03759697079658508,0.0,1,1,1
27,1,34.02725114,-118.83326036,916,0.0,183.39875,183.39875,10563768,0.0,-0.2367852161785216,798594,0.0,0.0,0.0,0.0,1,1,1
28,1,46.12144138,-115.77241269,1377,967.0,973.1223958333334,6.122395833333371,56051850,5.0,3.954602510460251,979936,0.0,0.0,0.0,0.0,0,1,1
29,1,34.02224298,-118.80889688,854,0.0,171.27932291666667,171.27932291666667,9865689,0.0,-0.39686192468619247,771844,2.419999837875366,2.419999837875366,0.6166293621063232,0.7699999809265137,1,1,1
